,TMAX min band,TMAX max band,TMAX
1901-03-09,-5.5,5.6,-1.0142981435930571
1901-03-10,-5.5,8.4,0.9181957009901167
1901-03-11,-3.6,8.8,6.193634544910105
1901-03-12,5.5,12.4,9.20055572412863
1901-03-13,0.0,13.0,6.7383366286094875
1901-03-14,0.8,4.4,3.4014379982409224
1901-03-15,-0.3,10.4,3.6906530746486688
1901-03-16,2.1,11.4,4.204481791977744
1901-03-17,1.2,4.4,3.2012579514568817
1901-03-18,-2.4,3.8,0.6023065998918506
1901-03-19,-7.6,2.2,-2.125252964709826
1901-03-20,-3.6,6.0,1.4089212316094453
1901-03-21,-6.6,4.4,0.4465102985657837
1901-03-22,-1.4,10.5,4.188353123569254
1901-03-23,6.2,18.5,12.71196984091382
1901-03-24,-0.8,14.0,5.394610354167227
1901-03-25,0.2,14.4,5.684022571504542
1901-03-26,-2.0,4.3,1.6760559987612869
1901-03-27,-4.8,6.4,1.6109041654615412
1901-03-28,-1.6,12.0,7.626192560211854
1901-03-29,2.4,14.6,10.461908078841224
1901-03-30,0.0,13.2,4.689102522927564
1901-03-31,-2.8,4.6,0.9741114057174427
1901-04-01,4.6,16.2,8.038523281071614
1901-04-02,-0.6,11.2,6.067415763049394
1901-04-03,2.6,15.6,8.74966920545579
1901-04-04,4.6,19.6,13.451706389712182
1901-04-05,0.5,19.6,10.420420166541543
1901-04-06,9.8,22.7,16.849419991055054
1901-04-07,5.0,14.6,10.976299286762258
1901-04-08,0.4,14.6,8.069399642193993
1901-04-09,0.0,15.3,12.738383999257444
1901-04-10,0.4,13.9,6.526879619519613
1901-04-11,-3.2,13.0,7.829075499413058
1901-04-12,-5.6,6.4,0.2186671388954314
1901-04-13,0.0,17.6,8.485468588997092
1901-04-14,7.3,21.7,13.559267183605096
1901-04-15,-1.2,14.0,8.127648301138427
1901-04-16,1.0,20.7,9.569697503753375
1901-04-17,-1.6,15.3,7.209436140395786
1901-04-18,7.0,21.0,12.497049376366743
1901-04-19,3.0,20.0,10.569939851240427
1901-04-20,-0.8,14.0,6.1192820033431055
1901-04-21,2.2,9.4,3.8928578355975243
1901-04-22,4.0,9.8,6.804362414539569
1901-04-23,3.8,12.0,7.2236320051511935
1901-04-24,3.2,14.0,7.891121642135724
1901-04-25,-3.2,16.0,6.387401047798491
1901-04-26,-4.0,1.3,-0.6841367489236932
1901-04-27,-4.6,12.0,2.039028165561368
1901-04-28,7.1,17.6,12.039172578639443
1901-04-29,5.7,18.2,11.782213487009637
1901-04-30,-0.2,15.7,9.576646149476645
1901-05-01,1.4,16.6,7.957376852253369
1901-05-02,0.4,16.2,7.256570833235123
1901-05-03,5.6,21.0,13.612713528156444
1901-05-04,-3.8,18.0,6.262176693074264
1901-05-05,-1.6,14.2,7.406933872104461
1901-05-06,-4.8,9.6,0.16071431023508836
1901-05-07,-2.0,11.2,1.411813925961735
1901-05-08,-0.8,9.0,4.623849647244121
1901-05-09,-0.6,14.8,4.991899573197177
1901-05-10,-3.0,14.8,6.398984058508995
1901-05-11,-2.6,14.0,5.9348213623409025
1901-05-12,4.8,16.8,11.962610988102824
1901-05-13,0.4,18.0,11.573365480867876
1901-05-14,-0.2,19.6,10.949415518277867
1901-05-15,1.0,19.8,12.50438070900051
1901-05-16,-0.6,17.4,9.256573294973482
1901-05-17,4.2,11.8,9.376577481751251
1901-05-18,1.3,15.2,9.381538466773527
1901-05-19,7.0,19.8,15.236537455630689
1901-05-20,4.6,20.6,11.194276674551318
1901-05-21,4.6,16.0,9.642683201133636
1901-05-22,-0.6,19.5,10.792894865232515
1901-05-23,1.0,13.8,7.66956497204774
1901-05-24,1.9,9.5,6.8162119842763405
1901-05-25,-1.8,11.2,3.672745146658268
1901-05-26,1.4,12.8,7.425413043265062
1901-05-27,3.0,17.0,9.097914460844807
1901-05-28,2.2,13.8,8.841550220102468
1901-05-29,1.6,19.8,11.844089516082274
1901-05-30,0.4,12.8,7.573719734971492
1901-05-31,4.6,16.3,10.669135958777604
1901-06-01,7.8,26.3,19.17527761930684
1901-06-02,10.4,27.7,21.618583069160543
1901-06-03,17.8,27.2,22.863220001961373
1901-06-04,15.0,27.2,21.447811984545684
1901-06-05,18.0,26.6,21.745277420595556
1901-06-06,12.8,26.0,21.430003144698144
1901-06-07,12.4,24.5,19.812548144441738
1901-06-08,9.2,24.0,17.385526825355832
1901-06-09,12.8,26.8,21.051780805013955
1901-06-10,9.0,26.0,21.182875017323866
1901-06-11,12.0,26.0,20.145932292863126
1901-06-12,13.6,24.5,20.254192627183738
1901-06-13,5.0,21.8,12.921224501730638
1901-06-14,5.4,17.8,10.647750277415497
1901-06-15,5.2,22.8,16.98143188705634
1901-06-16,14.2,28.8,20.257162878554027
1901-06-17,7.6,26.4,19.231368192210486
1901-06-18,15.8,27.5,20.541117847860278
1901-06-19,13.4,28.4,23.341727597935662
1901-06-20,20.0,29.0,23.727496700796195
1901-06-21,20.0,29.0,23.221991833237233
1901-06-22,17.4,25.2,22.463758378950573
1901-06-23,6.0,23.3,17.120338665446308
1901-06-24,18.0,26.9,23.30118123443479
1901-06-25,20.0,27.0,24.571051140986604
1901-06-26,21.0,27.8,24.97021718579012
1901-06-27,15.4,27.6,19.88365720330101
1901-06-28,15.0,24.8,18.457144134305498
1901-06-29,14.8,25.0,20.74944665984107
1901-06-30,7.8,25.9,17.690901255092733
1901-07-01,12.2,26.0,21.04238128311023
1901-07-02,13.2,21.8,17.249751588109174
1901-07-03,6.6,21.0,15.859061170363606
1901-07-04,7.0,27.6,18.659339693517907
1901-07-05,17.0,24.2,21.05832951743949
1901-07-06,15.2,28.2,20.732625015204388
1901-07-07,9.8,27.2,19.383668590223326
1901-07-08,17.5,30.0,23.641356320116035
1901-07-09,17.2,24.4,20.618391272351758
1901-07-10,17.8,25.2,21.597310229037316
1901-07-11,10.2,27.8,17.446174655169926
1901-07-12,10.4,29.8,19.654908760026203
1901-07-13,17.8,25.0,22.150809885270895
1901-07-14,19.6,27.6,25.91205911148612
1901-07-15,18.6,28.2,23.73975222292994
1901-07-16,14.0,27.0,22.746248278315342
1901-07-17,15.6,28.4,23.79089627596874
1901-07-18,9.2,29.4,25.043270826343726
1901-07-19,17.4,29.4,22.46550547057501
1901-07-20,13.0,25.0,19.96118853305178
1901-07-21,22.0,27.5,24.10274054848758
1901-07-22,13.6,21.6,17.610565397144757
1901-07-23,11.0,24.8,20.71488083732698
1901-07-24,12.6,22.4,16.89638570558748
1901-07-25,10.0,20.4,16.167590065849897
1901-07-26,12.2,25.0,20.227212468279422
1901-07-27,10.0,22.4,18.26936422291508
1901-07-28,10.0,22.4,17.597947176112424
1901-07-29,7.0,27.8,17.043757919001976
1901-07-30,13.5,26.0,18.980917338824653
1901-07-31,14.6,24.4,20.62649072597344
1901-08-01,18.0,25.0,21.376979584871613
1901-08-02,18.2,25.8,22.351759033413163
1901-08-03,12.4,28.0,22.585272095814204
1901-08-04,19.2,27.8,23.096058888410678
1901-08-05,14.0,29.8,21.859476432643852
1901-08-06,16.0,27.0,23.469789563912972
1901-08-07,13.8,25.8,21.301397440184143
1901-08-08,19.0,27.0,22.698981635708286
